round,test_accuracy,train_loss,d_loss,cka_loss
188,41.6,-0.8689936232586701,0,0
189,42.68,-0.8700726477854781,0,0
190,42.480000000000004,-0.8697778809365099,0,0
191,41.839999999999996,-0.8676292095019059,0,0
192,42.36,-0.8682630740569798,0,0
193,43.44,-0.8699096231951858,0,0
194,42.199999999999996,-0.8688399441220143,0,0
195,43.480000000000004,-0.8696035411597401,0,0
196,42.44,-0.8697013537342901,0,0
197,42.52,-0.8682302859112973,0,0
198,42.120000000000005,-0.867345332038824,0,0
199,41.88,-0.8662808498674571,0,0
200,41.56,-0.8700077764093676,0,0
