client_id,server_round,loss,accuracy
2,2,0.942115976302712,73.25837474399142
2,5,0.46762821161084706,85.1190458227087
2,9,0.6535431447404402,82.18694701018157
2,13,0.39208708151623056,88.69047334459093
2,15,0.5361628502745319,86.35361332363553
2,24,0.2714824263972265,91.15960975929544
2,29,0.26171243447741427,91.44620542173033
2,34,0.2576239568836711,91.82098473442926
2,35,0.23181300508548264,93.14373638011791
2,36,0.06442907681964614,98.14814701786747
2,37,0.058974073641433346,97.79541326452184
2,39,0.19930793122060736,94.29012185555918
2,40,0.045217241471012436,99.07407350893374
2,42,0.09390886861688665,96.91357902244285
2,43,0.02751614002476412,99.5149909125434
2,44,0.016656601428554428,99.69135764793113
2,47,0.05138810355802653,98.45678852222584
2,48,0.026414629712235183,99.38271529586227
2,49,0.034380555587294685,99.22839468496817
2,50,0.01034478512721964,100.0
2,52,0.034357559290516225,98.91975233289931
2,53,0.03119751820189844,99.07407322636357
2,54,0.019576208922511863,99.38271557843244
2,56,0.019681078870134015,99.38271557843244
2,58,0.036879907975499344,98.74338503237124
2,59,0.006376253153171597,100.0
2,61,0.014686219076759665,99.69135764793113
2,62,0.011451776620190314,100.0
2,63,0.025609603672314227,99.38271557843244
2,67,0.016271022373715555,99.22839496753834
2,68,0.0035105177645433556,100.0
2,69,0.009798938115299851,100.0
2,71,0.01446365837344072,100.0
2,72,0.004984679644823902,100.0
2,73,0.010904951990125011,99.84567882396557
2,74,0.002856989343719626,100.0
2,76,0.008188792350227703,100.0
2,80,0.005606625666755631,100.0
2,81,0.006216078660886355,100.0
2,82,0.002999461545928002,100.0
2,87,0.005289381232513633,100.0
2,88,0.004979330826447242,100.0
2,90,0.014282294191178624,99.84567882396557
2,92,0.0060662051368530635,100.0
2,93,0.0026964374857790835,100.0
2,95,0.00811602774127904,99.6913579305013
2,96,0.0027833426612670774,100.0
2,97,0.004139210190192831,100.0
2,98,0.0031769411558613043,100.0
