round,test_accuracy,train_loss,d_loss,cka_loss
1,70.19999999999999,-0.05786429174624615,0,0
2,64.96,-0.1945419034862433,0,0
3,61.63999999999999,-0.44089782678251616,0,0
4,58.4,-0.6184711792319411,0,0
5,57.76,-0.6964222311251894,0,0
6,58.52,-0.7317399769868915,0,0
7,58.68,-0.7582352553534489,0,0
8,58.720000000000006,-0.7776253379340224,0,0
9,57.64,-0.7898722605324253,0,0
10,56.92,-0.802490970857316,0,0
11,56.720000000000006,-0.8133386745171816,0,0
12,55.720000000000006,-0.8221431285552304,0,0
13,56.32,-0.8279040518933174,0,0
14,56.76,-0.8344120338565071,0,0
15,55.96,-0.8386725640947268,0,0
16,56.24,-0.8445098269383513,0,0
17,56.08,-0.8462645027472414,0,0
18,56.99999999999999,-0.8487234289539684,0,0
19,55.64,-0.8536589299361714,0,0
20,56.120000000000005,-0.8559077159355084,0,0
21,55.96,-0.8578407838115889,0,0
22,55.800000000000004,-0.8605704784473787,0,0
23,56.120000000000005,-0.8619744537164266,0,0
24,56.52,-0.8620281584622282,0,0
25,55.60000000000001,-0.8677819174967931,0,0
26,55.36,-0.8670510794865663,0,0
27,55.36,-0.8680674546595576,0,0
28,55.24,-0.8664844463138167,0,0
29,56.00000000000001,-0.8698049400612361,0,0
30,55.800000000000004,-0.8708145993800476,0,0
31,55.279999999999994,-0.8704173107464104,0,0
32,55.44,-0.8745739561626908,0,0
33,55.08,-0.8760396600810065,0,0
34,55.08,-0.8771093728314545,0,0
35,54.84,-0.876451427265189,0,0
36,55.400000000000006,-0.8788394641973053,0,0
37,55.60000000000001,-0.8791132861154348,0,0
38,55.64,-0.8797904685651413,0,0
39,55.16,-0.8815379161434744,0,0
40,55.44,-0.8804477977565243,0,0
41,54.96,-0.8798710508503397,0,0
42,54.92,-0.880591380424351,0,0
43,54.24,-0.8793090349912844,0,0
44,54.64,-0.878353755473368,0,0
45,53.76,-0.8776443502843981,0,0
46,54.16,-0.8789859953153313,0,0
47,53.52,-0.8801005346900888,0,0
48,53.72,-0.8828133574648236,0,0
49,54.24,-0.8834436450778836,0,0
50,54.08,-0.8869159567840874,0,0
51,54.879999999999995,-0.8888192059844834,0,0
52,53.68000000000001,-0.8891998252563404,0,0
53,54.04,-0.8917765788223104,0,0
54,54.24,-0.891875160843164,0,0
55,54.76,-0.8927032823619016,0,0
56,55.08,-0.8974667126025916,0,0
57,54.92,-0.8978477737090503,0,0
58,55.2,-0.8980923918920334,0,0
59,55.800000000000004,-0.8970043476190833,0,0
60,55.279999999999994,-0.8967553510293114,0,0
61,55.279999999999994,-0.8988401304312928,0,0
62,55.279999999999994,-0.8983355376477092,0,0
63,54.92,-0.8999657009734952,0,0
64,55.120000000000005,-0.8989573624145704,0,0
65,55.04,-0.8997936189206661,0,0
66,55.52,-0.898928160627131,0,0
67,55.559999999999995,-0.9017561078438052,0,0
68,55.44,-0.9017240977973447,0,0
69,55.08,-0.899575298014233,0,0
70,55.720000000000006,-0.9017249692906133,0,0
71,55.400000000000006,-0.9021446224268237,0,0
72,54.92,-0.9030716618777626,0,0
73,55.67999999999999,-0.903365569379153,0,0
74,55.400000000000006,-0.9034625044770815,0,0
