client_id,server_round,loss,accuracy,fit_mins
3,1,0.9553406227912221,74.36884253365653,0.07884230613708496
3,6,2.390228433268411,65.77894101824079,0.07851092418034872
3,7,1.4314451175076621,70.86668722970145,0.08050596316655477
3,8,1.3834573477506638,67.04895292009626,0.08179137706756592
3,9,1.2534495017358236,71.29002434866769,0.08162992397944133
3,11,0.7997210973075458,77.09359577723912,0.07860579093297322
3,17,2.8083474997963225,64.9707510811942,0.07986317078272502
3,20,1.8940378001758031,65.06311580113002,0.07993463675181071
3,23,1.0237936888422285,78.40979058401925,0.0818654457728068
3,24,1.0179636201688222,72.65240151541573,0.08042620023091634
3,25,1.7988927364349365,69.45812824794224,0.07870447635650635
3,26,0.5772947669029236,83.34359577723912,0.07872910102208455
3,28,2.0120336934924126,53.10190854753767,0.08045257727305094
3,29,1.553262016602925,59.259544372558594,0.07875931660334269
3,30,0.9810596704483032,82.4738300868443,0.0801925778388977
3,31,1.0465178489685059,72.25215530395508,0.08058184385299683
3,32,1.1814154450382506,64.10098539079938,0.07916583220163981
3,34,1.5253464664731706,64.14716720581055,0.07897664705912272
3,35,1.4147741326263972,65.06311580113002,0.07915999094645182
3,36,1.4076220989227295,65.70966720581055,0.08386903206507365
3,37,1.3415146597794123,64.79371915544782,0.0812865416208903
3,38,1.2903240621089935,64.39347294398716,0.08177652756373087
3,41,1.0957577675580978,71.98275865827289,0.07847985426584879
3,43,1.3913115050111498,59.48275865827288,0.0798232078552246
