round,test_loss,test_accuracy,train_loss,train_acc,mean_diff_acc,var_diff_acc,val_loss,val_acc
1,0.08558941040039063,17.95886075949367,0.8657892827110438,73.89520807136617,-8.694558113358198,556.0759393855976,0.09257141473558214,17.763701435795536
2,0.09878879222869873,17.167721518987342,0.8434258498547762,76.60212033161996,-7.830425183677384,510.31093741575916,0.10392638243569269,15.681398991433982
3,0.09646346554756165,27.175632911392405,0.8621244664743506,79.77749506806165,-7.833326727078465,425.62462198192935,0.10463222402996487,27.09764432485423
4,0.09004353468418122,37.0253164556962,0.7705374237947854,80.90955053075052,-6.378612264554315,277.4823218107577,0.09692238693767123,36.41401669759832
5,0.09810104000866413,31.606012658227847,0.7924436669488213,80.66797927875825,-4.619569958317338,223.23733043193633,0.10545451174179712,31.23655882013897
