round,test_loss,test_accuracy,train_loss,train_acc,mean_diff_acc,var_diff_acc,val_loss,val_acc
1,0.06973717460632324,24.485759493670887,1.6362035288555385,43.00522550489946,-0.7159750626723949,36.28599614074875,0.06718479078557663,32.20028796910169
2,0.060755517864227296,43.31487341772152,1.3601752111478056,54.63324952027689,0.05252668052481937,61.76549663635095,0.06960666170089623,34.13869065527868
3,0.0524827539563179,42.52373417721519,1.297198718952519,58.3905982255948,0.25186914146101885,62.085093922766234,0.04980913225633616,48.70571262701677
4,0.04556329126358032,54.35126582278481,1.1200718191023364,67.54726631103178,-0.7659146666244225,27.061212982336826,0.053693783400418825,44.875715044134346
5,0.0412734982252121,59.177215189873415,1.1095676693728178,68.71382454803863,-1.072593903940779,78.88030657958802,0.04216248312568833,59.44039676318989
6,0.037347090977430344,60.28481012658228,1.0485725862835578,68.74659239372045,-0.3464622095699184,43.49388648988861,0.03641692005939563,67.99912684257504
7,0.036030273604393,63.40981012658228,0.9871666609007416,72.06011366076976,-0.3725313396815011,25.898550166128025,0.0375959319615427,65.35943428574815
8,0.03249150045514107,68.78955696202532,0.9156507108275757,75.17030692225494,-0.15318071678586023,24.728853479618415,0.036163224864189755,67.49210417830548
9,0.031420101135969165,68.71044303797468,0.9401974306474828,75.59937622203228,-0.03399923431175864,36.70013727042969,0.036808200359344484,62.78846599409315
10,0.029192970007658005,72.38924050632912,0.9071714420927812,75.81984812881124,0.08859314168671517,39.1750227912749,0.038990662350349155,58.75986988434164
11,0.028566944009065627,73.89240506329114,0.9140535579702462,74.28580605361662,0.3396272585634733,21.469026487300376,0.026521561824111424,79.37716726435924
12,0.026589028006792068,75.15822784810126,0.894977689222475,75.72257770274568,0.4820978418511629,20.503440207600704,0.031253803041246205,70.40662143961589
13,0.02583690265417099,74.92088607594937,0.9742064676245743,73.08305897125213,0.44328917413429847,18.803384597078022,0.03528380654002196,63.564868766989484
14,0.024808064222335814,78.52056962025317,0.8737785660564275,76.54563823568735,-0.03999061715315975,22.941607377745093,0.028459742221082777,74.48517239406073
15,0.02508142542243004,76.97784810126582,0.9278310621595764,73.41834287026472,-0.30284932954281485,38.246445414579526,0.03288141575716294,67.44271123091984
16,0.022999565514922143,80.37974683544304,0.8390094744612496,76.73271888267557,-0.4578326019710687,12.282053432109134,0.02526578770100492,79.01821180295076
17,0.02292532494664192,79.39082278481013,0.9170211477245098,73.17210785933916,-0.27831746690848147,34.31990098577711,0.025469911320193002,78.01042520225346
18,0.02182920394539833,79.94462025316456,0.9079848952743207,72.60379352038649,0.4065605478157437,17.74095879197659,0.0241232339197413,77.70678009785999
19,0.020644010731577872,81.4873417721519,0.9837846448936621,70.44094931324713,0.46585196811532514,18.508376505586302,0.023574921869276177,77.95509579677595
20,0.020376716884970666,82.47626582278481,0.9170461081698716,72.89835573595253,0.21999050950772697,8.573235286177736,0.022832971390440743,81.49503536770217
21,0.019899843591451645,82.95094936708861,0.8105008676628838,77.10334182690616,-0.1178171847169324,8.28565523096773,0.021279468438432588,82.27039388519924
22,0.01905695879459381,82.95094936708861,0.960159073103107,71.30435512784298,0.08227321212590369,12.859060585927924,0.01910292433040405,84.71612109543979
23,0.018569762128591537,83.06962025316456,0.8889852407729617,71.7112745346773,0.187594037661475,22.552322909326165,0.022517813242748583,80.3099365405138
24,0.01838865294754505,83.14873417721519,0.9686020541357426,69.59516100033343,0.11171324370826027,14.676197720708368,0.022504604326097438,79.87586204117366
25,0.01837945183813572,82.39715189873418,0.9591827930168921,69.42323505993195,0.4086343677755863,24.520841704293787,0.021571621388094882,80.99650363671725
26,0.018007650795578957,82.31803797468355,0.8859071165733029,71.57801367060729,-0.20225879544988173,42.594209950795836,0.021755599709081936,80.46032797592103
27,0.01717514750957489,84.53322784810126,0.8715286041925222,73.25718452057271,0.40126137337231,15.756086323869074,0.02076719305707735,82.22795139021937
28,0.0177295402020216,84.17721518987342,0.7895414533128846,75.95936261031115,-0.506542457803215,28.590383227473524,0.02166292114968924,79.89909641229472
29,0.016481935653090477,84.92879746835443,0.8484262499890902,73.47320942566459,-0.2172620864547838,57.64976764579372,0.017276890694148957,84.81506582990049
30,0.01633839105069637,85.28481012658227,0.9560462401280271,68.88897082330217,0.4989274219268296,40.20432825176364,0.018540341424517465,83.95081153379662
31,0.01610925652384758,84.8496835443038,0.7730711809121784,75.63775042969367,-0.46942963494666967,24.891775436494648,0.020542708913517862,81.01385050424085
32,0.015364540737867355,85.20569620253164,0.9356659695577535,70.36630970541826,0.40409585791240943,23.62181646541013,0.017197100133016393,84.82806648555983
33,0.01645370654463768,84.33544303797468,0.872786472313601,71.71407838191921,0.6722435028292011,45.71541858266756,0.0217846675607691,79.46571286218925
34,0.015461679552495479,85.60126582278481,0.8021593292150584,74.74394733694434,-0.19928932235526134,69.37837540282568,0.015939009596597782,86.29150650027616
35,0.015700006917119026,83.78164556962025,0.7364316914002011,77.7673043497703,-0.1669579538877258,32.37778873586723,0.021086390929896146,79.640969264587
36,0.015533112297952175,85.16613924050633,0.7944069594214587,75.38554876748745,0.1144855697744731,16.581044701355562,0.02120545693414306,78.63029246062209
