knn_accuracy,train_loss
40.52,-0.7843133211135864
40.44,-0.7820593118667603
40.96,-0.7832387685775757
41.0,-0.7845293283462524
41.08,-0.7878996133804321
41.4,-0.7846287488937378
42.0,-0.7892208695411682
40.839999999999996,-0.784978985786438
40.88,-0.786158561706543
40.64,-0.786056637763977
39.879999999999995,-0.7827332019805908
40.68,-0.7845532894134521
39.76,-0.7873997688293457
41.48,-0.7837387323379517
41.32,-0.7836323380470276
41.199999999999996,-0.7879565358161926
42.16,-0.788388729095459
41.44,-0.7895273566246033
42.28,-0.7865051627159119
42.24,-0.7859309315681458
41.36,-0.7942385077476501
42.16,-0.7904303669929504
42.52,-0.7866615653038025
42.04,-0.7906949520111084
42.6,-0.7905881404876709
41.4,-0.7898855805397034
41.72,-0.788442850112915
42.6,-0.7887986302375793
41.760000000000005,-0.7921594381332397
42.08,-0.7900351285934448
41.56,-0.792965829372406
42.16,-0.7931575179100037
42.120000000000005,-0.7916411757469177
42.16,-0.790125846862793
42.0,-0.7910481095314026
41.44,-0.7957977652549744
42.88,-0.792707622051239
41.48,-0.7953023314476013
42.28,-0.7967512607574463
41.72,-0.7952362895011902
42.28,-0.7933686375617981
41.44,-0.7930378317832947
42.4,-0.7956973314285278
42.24,-0.7924059629440308
42.92,-0.7960944175720215
42.559999999999995,-0.7887763977050781
42.4,-0.7929192185401917
42.28,-0.7997540235519409
42.08,-0.7953647971153259
41.760000000000005,-0.7957793474197388
42.44,-0.7974803447723389
43.16,-0.7954361438751221
43.04,-0.7911580801010132
42.4,-0.7944990992546082
42.68,-0.7930154800415039
43.08,-0.7970138788223267
42.8,-0.7921972870826721
43.04,-0.7930455207824707
41.6,-0.7959210276603699
42.88,-0.7979239225387573
42.88,-0.7955304384231567
42.84,-0.7965270280838013
42.52,-0.7943880558013916
42.84,-0.7945818305015564
42.76,-0.793053925037384
41.04,-0.8002850413322449
42.28,-0.7966607809066772
43.0,-0.8001349568367004
42.52,-0.7965033054351807
41.92,-0.7999898791313171
42.84,-0.7989189624786377
43.76,-0.7968910932540894
42.8,-0.799211859703064
42.24,-0.7992727756500244
42.76,-0.7994532585144043
43.16,-0.7970394492149353
43.36,-0.7992735505104065
42.8,-0.7986757159233093
42.68,-0.8047171831130981
42.64,-0.7958580851554871
42.120000000000005,-0.7967732548713684
43.120000000000005,-0.7963796854019165
42.72,-0.7991278767585754
42.8,-0.7986232042312622
43.04,-0.7966011166572571
