client_id,server_round,loss,d_loss,cka_loss,fit_mins
4,1,-0.6042209175916818,-0.6042209175916818,0.0,11.043534338474274
4,2,-0.4675503373146057,-0.6521268441126897,0.1845765090299347,13.44594384431839
4,3,-0.4654091802927164,-0.7080799203652602,0.2426707393746801,13.355912884076437
4,4,-0.4530449968117934,-0.7215823577000544,0.2685373590205298,13.429032623767853
4,5,-0.471793722647887,-0.7422481270936819,0.27045440581601143,13.441529627641042
4,6,-0.45766138113462007,-0.7403212969119732,0.28265991524350453,13.361145683129628
4,7,-0.482664188513389,-0.7627379481609051,0.2800737643908829,13.3271954814593
4,8,-0.47903783504779524,-0.7637735330141507,0.2847357019234613,13.514387166500091
4,9,-0.49114314638651335,-0.764941508953388,0.2737983600859967,13.374958725770314
4,10,-0.5001312563052545,-0.7680119000948392,0.26788064434060693,13.37587612469991
