client_id,server_round,loss,d_loss,cka_loss,fit_mins
1,1,-0.5814816554387411,-0.5814816554387411,0.0,10.568885997931163
1,2,-0.4298723191022873,-0.6623298327128092,0.23245751861048725,12.891943780581157
1,3,-0.4508155658841133,-0.6897624284029007,0.2389468686003963,12.626727704207102
1,4,-0.44120307515064877,-0.7209281424681345,0.27972506740515124,12.586914996306101
1,5,-0.4624386901656787,-0.7459065119425455,0.28346781777342606,12.605315546194712
1,6,-0.4661269163091977,-0.7416636894146601,0.2755367708254997,12.58125384648641
1,7,-0.4615536679824193,-0.7459553927183151,0.28440172748603837,12.518836510181426
1,8,-0.4917820915579796,-0.7511985898017883,0.2594164989705094,12.632417039076488
1,9,-0.4634074196219444,-0.7520585556825002,0.28865113352458693,12.607823924223583
1,10,-0.47480662167072296,-0.7632514387369156,0.2884448151390784,12.520072778066
