client_id,server_round,loss,d_loss,cka_loss,fit_mins
0,1,-0.5480662941932678,-0.5480662941932678,0.0,8.532547215620676
0,2,-0.39367665350437164,-0.6395106673240661,0.24583400834772928,10.269013293584187
0,3,-0.41660184860229493,-0.687848699092865,0.27124685377072677,10.379085425535838
0,4,-0.45040214359760283,-0.7307101786136627,0.28030803879971616,10.23694893916448
0,5,-0.4303668439388275,-0.7144871354103088,0.2841202928373685,10.266623012224834
0,6,-0.4464531570672989,-0.7413868188858033,0.29493366709606994,10.22159638007482
0,7,-0.445976522564888,-0.724444568157196,0.27846804405296977,10.393218290805816
0,8,-0.46249257028102875,-0.7353394150733947,0.2728468413414865,10.228608242670695
0,9,-0.4727763384580612,-0.7596530258655548,0.2868766871479345,10.223490873972574
0,10,-0.4567395806312561,-0.7465311408042907,0.2897915604749452,10.212321770191192
