client_id,server_round,loss,fit_mins
2,1,-0.15440794961018997,0.674596925576528
2,2,-0.43382282148707996,0.8227322856585185
2,3,-0.5762304717844183,0.8218221386273702
2,4,-0.648397066376426,0.681135892868042
2,5,-0.6965791420503096,0.8246014833450317
2,6,-0.7183784300630743,0.8165394544601441
2,7,-0.7252609513022683,0.837623131275177
2,8,-0.7355259982022372,0.6755791862805685
2,9,-0.7338699264959856,0.685363789399465
2,10,-0.7511389472267844,0.8306818048159281
2,11,-0.7575043548237194,0.907503585020701
2,12,-0.7626657269217751,0.8892059683799743
2,13,-0.7608147913759405,0.8307836731274922
2,14,-0.765324516729875,0.8338329354921977
2,15,-0.7516960393298756,0.6890287597974142
2,16,-0.7714971087195657,0.853201154867808
2,17,-0.7574853788722645,0.8566748778025309
2,18,-0.7652504985982721,0.8576778809229533
2,19,-0.7675034187056802,0.8107104380925496
2,20,-0.7601869214664806,0.8344605803489685
2,21,-0.775730474428697,0.8223314007123311
2,22,-0.7810003161430359,0.8227920850118001
2,23,-0.7778654261068865,0.8602257132530212
2,24,-0.7614511522379789,0.6759437243143718
2,25,-0.772614218971946,0.8424109101295472
2,26,-0.7597090493549,0.6796707113583883
2,27,-0.7666966264898126,0.8459104736646016
2,28,-0.7656469561836936,0.685273822148641
2,29,-0.7676123868335377,0.8435366868972778
2,30,-0.7737880024042997,0.7824592987696329
2,31,-0.7740216201001947,0.847805897394816
2,32,-0.7677178437059576,0.8547781387964885
2,33,-0.7832700176672502,0.6788590987523396
2,34,-0.7740422758189115,0.7913989941279094
2,35,-0.7900221456180919,0.8285028179486592
2,36,-0.7771184281869368,0.8521083196004232
2,37,-0.7880122715776617,0.7994524439175924
2,38,-0.7947103381156921,0.8101016720136006
2,39,-0.7896463979374279,0.826356033484141
2,40,-0.8035963177680969,0.8161528825759887
2,41,-0.7851664911616932,0.861094041665395
2,42,-0.7962641607631337,0.8391919930775961
2,43,-0.8049363873221658,0.8391706109046936
2,44,-0.8021403876217928,0.8550673087437948
2,45,-0.8114372112534263,0.8133753498395284
2,46,-0.8122784278609536,0.7874669472376505
2,47,-0.8065042441541498,0.6779678424199422
2,48,-0.8130775635892694,0.8003602107365926
2,49,-0.8143393722447482,0.8202431837717692
2,50,-0.8068748929283835,0.790951156616211
2,51,-0.8050496957518838,0.849094827969869
2,52,-0.8164491111581976,0.8455408215522766
2,53,-0.8238910382444208,0.8166394750277202
2,54,-0.8296437534418973,0.8240522901217143
