client_id,server_round,loss,accuracy
4,1,1.3260177850723267,37.5
4,2,0.9924424886703491,68.52678527832032
4,3,0.7744466662406921,79.64285736083984
4,4,0.7642295837402344,73.79464263916016
4,6,0.49419698119163513,86.5625
4,7,0.4757534205913544,79.77678527832032
4,8,0.43459329605102537,81.65178527832032
4,9,0.44437130689620974,80.71428527832032
4,11,0.36733423471450805,83.57142791748046
4,13,0.43022848963737487,81.33928527832032
4,16,0.36736093163490297,85.0
4,19,0.2708454504609108,89.82142791748046
4,20,0.2462509199976921,92.8125
4,21,0.29250224828720095,88.03571472167968
4,25,0.41830456256866455,85.49107131958007
4,28,0.2043961316347122,95.26785736083984
4,30,0.09380863234400749,97.5
4,33,0.1478842407464981,95.58035736083984
4,34,0.09991607367992401,97.5
4,35,0.08742271959781647,97.8125
4,36,0.0820628896355629,98.4375
4,37,0.0705229863524437,97.8125
4,38,0.07534652501344681,97.8125
4,45,0.06661753654479981,97.32142791748046
4,46,0.10196551904082299,96.69642791748046
4,48,0.04219241589307785,99.0625
4,50,0.03890696261078119,99.6875
