round,test_loss,test_accuracy,train_loss,train_acc,mean_diff_acc,var_diff_acc,val_loss,val_acc
50,0.011996015264093876,87.38132911392405,0.2449036384330076,93.07975095861099,-2.842170943040401e-15,0.6170053355722109,0.015309537106090123,86.171875
51,0.010746425396203995,89.31962025316456,0.23041720425381382,93.61142533246208,8.526512829121202e-15,1.2041147271928294,0.013793271422386169,88.4375
52,0.010882472933828831,88.88449367088607,0.22165228360716036,93.1674207799575,-5.684341886080802e-15,0.8191761839988233,0.013706279383765327,87.890625
53,0.01223726749420166,86.94620253164557,0.2269162859110271,93.472850485409,1.1368683772161604e-14,1.2130883860184614,0.01630564498901367,84.375
54,0.01097339710444212,88.25158227848101,0.20630774024654835,94.23642533246209,-2.842170943040401e-15,0.8495041032268269,0.013046883596314325,88.984375
55,0.011280887250602245,87.9746835443038,0.20194597647470583,94.70022609935087,0.0,1.336959668560557,0.017416714125209384,83.828125
56,0.010588359391689301,89.12183544303798,0.21864264734527641,93.40214906580307,8.526512829121202e-15,0.3865860460070206,0.01689321459001965,84.921875
57,0.011724887654185294,87.65822784810126,0.199113922127906,94.24208131677965,-8.526512829121202e-15,0.7877444504730088,0.018867205805248685,82.265625
58,0.010580147565901279,89.00316455696202,0.18611785497735525,94.5475113812615,-1.4210854715202004e-14,0.5325475778546743,0.021122551441192627,80.0
59,0.010735186870396138,89.04272151898734,0.1810539604548146,95.4270362405216,-2.842170943040401e-15,0.4540082528070252,0.01548794040415022,83.515625
60,0.010507219159603119,89.24050632911393,0.17587720050531275,94.79355190501492,1.1368683772161604e-14,1.475723180179071,0.013773187902238634,88.203125
61,0.0110655309766531,88.40981012658227,0.17460374661228237,95.28280531939339,-8.526512829121202e-15,0.24094444265220147,0.016087075855996873,85.78125
62,0.010848652648925781,88.76582278481013,0.16406743916518549,95.06787315817441,-2.842170943040401e-15,0.7885442475903125,0.013927820728884804,87.34375
63,0.010459528906643391,89.79430379746836,0.15778643256601166,95.81447951372932,-2.842170943040401e-15,0.44796195697714297,0.012900716960430145,89.140625
64,0.010434515836834907,89.4382911392405,0.14432958386400166,96.10859725054573,-2.842170943040401e-15,0.38145151944931277,0.014973398089408875,86.40625
65,0.01133068583458662,88.48892405063292,0.13855605682029443,96.6628958309398,-5.684341886080802e-15,0.3941361925281635,0.0142989155848821,87.890625
66,0.01126683742851019,88.40981012658227,0.1487463802975767,96.22454735251036,-1.9895196601282804e-14,0.48187308365064896,0.02097157848543591,83.75
67,0.013088542771339416,86.74841772151899,0.15290690515847769,96.00961528104894,5.684341886080802e-15,1.7758039191085715,0.01676215985748503,85.15625
68,0.010501974649727344,89.71518987341773,0.140024727232316,96.55260171329274,-5.684341886080802e-15,0.7921434303156414,0.016740783015886943,84.921875
69,0.010792071115970612,89.20094936708861,0.1332152939018081,96.60633491067325,0.0,0.09461505190311241,0.014125593211915758,87.734375
70,0.011120088398456573,89.04272151898734,0.1230276457965374,96.92024877211627,2.842170943040401e-15,0.5996339925713562,0.013968530264165667,88.046875
71,0.010886798742413521,88.60759493670886,0.13386388754143436,96.44796384923599,-8.526512829121202e-15,1.7385335866669926,0.012491041289435493,88.984375
72,0.012442792880535125,87.10443037974683,0.12870545106775622,96.53846139346852,-2.842170943040401e-15,0.36585555155975646,0.01511884828408559,87.265625
73,0.011496381802856922,88.2120253164557,0.12591734535115606,96.81278273638557,-2.842170943040401e-15,1.1995719185562215,0.015723046859105427,86.5625
74,0.01107975714057684,88.9636075949367,0.10601510392392384,97.3048641429228,0.0,1.00826244885751,0.015711473888821072,84.609375
75,0.010920227591693402,89.28006329113924,0.10914417671806671,97.44909506405101,2.842170943040401e-15,0.2689370929954486,0.012605099115106794,88.828125
76,0.010574079655110835,88.72626582278481,0.10651256135281394,97.41515826056985,2.842170943040401e-15,0.198939682490798,0.013556627088122898,87.578125
77,0.01123692943751812,88.84493670886076,0.09588313159697195,97.87047514073988,8.526512829121202e-15,0.11193847515662143,0.016649296919504803,86.484375
78,0.010819592332839965,89.00316455696202,0.10354500838062343,97.56221717385685,-5.684341886080802e-15,0.5198309278169135,0.014234614080852932,86.875
79,0.011110108357667924,88.92405063291139,0.09746893688159831,97.78563340130974,8.526512829121202e-15,0.44153170969226024,0.014552520553270975,85.15625
80,0.011519929702579975,88.48892405063292,0.09200886369628065,98.29468320958756,-1.1368683772161604e-14,0.23646574886760643,0.015366804374588861,87.1875
81,0.012108185423910617,88.29113924050633,0.0933003648677293,97.96662884880514,2.842170943040401e-15,1.0510351220824707,0.01681948655181461,81.953125
82,0.011474830746650696,88.6867088607595,0.08353107369997921,98.23812219956342,0.0,0.313645278950346,0.015996786501672532,84.84375
