round,test_loss,test_accuracy,train_loss,train_acc,mean_diff_acc,var_diff_acc,val_loss,val_acc
1,0.07977174072265625,18.196202531645568,0.6548051015011579,76.22731677756177,-15.352354336714114,758.9644203660669,0.09572643027519785,0.33256993695823484
2,0.07214824829101563,28.560126582278482,0.7793397067084535,73.14527272625003,-2.288998605680578,180.68895084837848,0.09935613022151846,13.410635684932208
3,0.0658141830444336,27.056962025316455,0.8251687168460379,74.95048313356843,-2.3807903180585273,177.7689026859405,0.06845504185930948,35.13178261968679
4,0.06192484741210937,22.310126582278482,1.1506728317301187,61.67302614495584,-6.410816129764868,289.0091616602744,0.07199714928744186,14.422573997477672
5,0.05603322601318359,38.40981012658228,0.6757819476633099,83.94439563336286,-2.9652536127636724,83.44851370605446,0.06554727500864209,26.895179325283376
6,0.05411227416992188,37.85601265822785,0.6881331905849499,85.0625383844177,-14.884608164071105,627.0014704458979,0.044189937375423705,61.686502717657916
7,0.050592448425292966,47.982594936708864,0.8759312733934206,77.44754945765547,0.5639613634404469,69.56781562488827,0.06056344980462968,38.84915809147571
8,0.05095652313232422,43.43354430379747,0.9291690360904651,76.06512560779024,-8.01987412779261,400.9959630331151,0.06529367763028705,26.806719951804094
9,0.04778469352722168,45.05537974683544,0.8741447595111063,78.1566140672942,-9.78387151265849,356.7853955969571,0.051032595928536345,48.59174122399082
10,0.04502841911315918,53.995253164556964,0.8216416820440272,83.7839632430881,-2.3607854426007435,89.19339701145009,0.05611872035160399,48.99824088280661
11,0.04263360824584961,56.447784810126585,0.7748454363415767,84.66299446371156,-2.7979366347906423,114.82519974345071,0.050558581352233886,51.757598828152915
12,0.041105478286743165,59.889240506329116,0.904199082164954,79.6356626837827,0.3664608386361124,65.5700132237634,0.05054222554491277,53.24639065382774
13,0.04091239929199219,57.55537974683544,0.945920007295211,81.08787428021978,0.380834898393573,33.8506421275805,0.05582462697272088,41.20332810061247
14,0.03950674095153808,60.52215189873418,0.9837025706562348,80.78219594052655,-1.7478438370335283,86.3657006638432,0.04040901784688397,71.10556673317441
15,0.038267716407775876,67.0886075949367,1.0146072551106484,77.00714210743651,0.13824420559680844,58.54740765864996,0.040216134693455155,70.02613355599155
16,0.0417047966003418,58.97943037974684,1.0783544890173864,75.75654919023164,-5.4659550057194535,116.24425079686822,0.05378673836970941,45.72714251872056
17,0.036748523902893064,66.85126582278481,0.954668177098694,78.619869928558,-5.14905095371798,113.58098807046085,0.03950443189971301,66.77968706499277
18,0.03612056684494019,67.40506329113924,0.9010059380233137,80.9175832242095,-1.6209562982112318,65.18584895723377,0.05052804998338158,53.94594454334949
19,0.03660278224945068,64.04272151898734,0.9200941439026562,81.33105571537507,-4.22572202954114,101.93555862512142,0.04885805717353657,52.5684683190429
20,0.03398968329429627,68.9873417721519,1.0363601296395355,73.47235403920433,-4.501781773506802,188.7990749649344,0.03663330369817282,68.49854873178244
21,0.03468925428390503,68.5126582278481,1.0066967312047304,74.00634178786679,-5.9931912124409,211.79797889477868,0.03380391960102031,71.59337758134613
22,0.034784049320220944,70.6882911392405,0.9791554960133185,77.31944565925446,-4.46157424913403,262.21361680760987,0.033379996919490465,78.26252207638856
23,0.03204798336029053,72.78481012658227,1.3125092848213287,61.88777543434826,-0.7111412535878785,80.21333182516793,0.03934440164630207,64.03775747075682
24,0.03229863753318787,70.88607594936708,0.9812422460141964,76.76801208832657,-4.058797404358191,134.86595034507252,0.03901298660716731,64.28715277475023
25,0.033946714878082276,68.86867088607595,1.381628434272279,57.86231036229577,-0.39444699815665274,31.20447085731599,0.04554906378793453,59.94670806631858
26,0.036983783292770384,66.8117088607595,1.2702672568764537,67.19901622407001,-1.597995229472933,148.28111060673277,0.04836256688187836,54.286487300178294
27,0.03655868225097656,69.10601265822785,1.3115500092187455,65.6423444429493,0.859388710098321,93.47864161449299,0.03295020042788735,77.45156197633898
28,0.04127011814117432,66.8117088607595,1.2290672486741998,70.40167640599529,-0.4602214702584533,139.6506698726089,0.040279850887647926,71.93271589376148
29,0.041809171867370605,66.89082278481013,1.023836309914302,74.38871155454402,-5.518304026196577,183.17145997150482,0.04441445342060709,69.73369184888138
30,0.052449937438964846,57.47626582278481,1.1400288009460666,73.4582887092614,-1.7077472733991228,113.59027646167354,0.05384202527661695,59.140814098997055
31,0.048731498336791995,55.69620253164557,0.9770690172477206,76.12323356772717,-6.158464882492251,182.3002004763319,0.05207383821581132,55.07832552776618
32,0.04645502128601074,60.99683544303797,1.2885567065581665,70.54243295156596,-3.9569553629729413,155.58833785951896,0.04913365737508516,62.4296113330537
33,0.053255197143554686,59.05854430379747,1.0514637822913644,78.33118408228148,-0.8775411529096374,83.27591542769525,0.05865709045874259,60.932369315478205
34,0.053136381530761716,51.89873417721519,0.8607677297182742,82.77784186412408,-6.3648418624234155,184.7731850310888,0.06445364583883463,45.08228931183273
35,0.04718833312988281,60.482594936708864,1.1227926470311154,76.6863059166735,-3.492408660033587,161.05565563326772,0.05281303060566721,66.52754970776766
36,0.04661854476928711,63.528481012658226,0.5995530487453203,88.5346029365095,-10.615480818368283,338.0638354212979,0.04892901638661312,62.39449767384801
37,0.04811655044555664,54.074367088607595,0.7202779659569266,84.49099497347191,-4.973334555158263,151.5275379042578,0.0577431967917909,43.64382264969197
38,0.054858570861816405,54.11392405063291,1.0996443219319367,73.06912279523446,-5.200013595523385,274.2973808048744,0.058005645444718715,50.954564422504085
39,0.04977337226867676,53.48101265822785,0.9437525352789478,79.3544932199836,1.1352667144568982,41.48636951326032,0.05661517467061565,41.637844046175886
40,0.049540965652465824,54.825949367088604,0.7838631861002678,83.6903826878632,0.22555138077570974,68.36115942177517,0.06083324104985341,42.68412810153444
41,0.04148547782897949,58.188291139240505,0.5088012228635984,90.10455041903202,-6.617470125488825,187.5916420797379,0.04367249801283315,64.4814275525201
42,0.04883492279052734,67.48417721518987,0.6605216321801151,87.19847946484398,-5.251289486852332,125.89657715657924,0.05342083683412665,60.601560326639884
43,0.04809142837524414,66.13924050632912,0.5272513765526768,90.5195095514255,-1.5453788861953286,33.39650137088065,0.05293231854836146,65.50062664455838
44,0.051989155578613284,55.34018987341772,0.6230285183186696,87.73846720577468,-3.171671995541638,107.05464222987078,0.05469889888677833,50.52198766196595
45,0.04969056015014649,50.55379746835443,0.7986161877135012,83.21405877867969,-5.406787748919717,159.1971461952009,0.055244913704943596,43.50939108085426
46,0.061439785766601564,31.289556962025316,0.8216214226104,83.20286813895483,0.9590860236126986,38.69969340886182,0.06612576845293253,21.621958773873562
47,0.0574269775390625,37.10443037974684,0.8993118541428288,79.92312537111995,-11.01407864216836,534.4597304417296,0.06178203940297749,32.68915586493298
48,0.05662513809204101,36.15506329113924,0.4915110223659971,90.70256852082589,-0.8524817778934078,50.43806824106766,0.06236385067261202,28.474690259807545
49,0.05526981048583984,44.54113924050633,0.7121609905124736,86.09491292920794,-3.1454134624054717,76.47647034856168,0.06053224695809243,39.34583021441377
