train_loss,train_acc,test_loss,test_acc
1.4514231164404687,57.73936170212766,0.02200778186917305,79.62816455696202
0.6203667393390169,80.89095744680851,0.013591773310303689,86.98575949367088
0.45855086769195313,85.56737586488116,0.012514834025502205,87.46044303797468
0.34233386865321624,89.5877659574468,0.010683316971361637,88.9636075949367
0.255319270967169,92.80585106382979,0.010904477767646312,88.48892405063292
0.18843518409957277,94.88031914893617,0.010279122726619244,89.87341772151899
0.14587163212610052,96.6001772941427,0.010024112422019242,89.59651898734177
0.10030524568988922,98.125,0.00988421796746552,89.99208860759494
0.06847561343394695,98.93617021276596,0.011226887552067638,88.64715189873418
0.050708943359712336,99.36170212765957,0.01022551940791309,90.46677215189874
