round,test_loss,test_accuracy,train_loss,train_acc,mean_diff_acc,var_diff_acc,val_loss,val_acc
1,0.07222193603515625,17.52373417721519,0.8763651691641526,69.35306693001617,-5.994157565645421,318.95593716991095,0.07718732123904758,17.918719203131833
2,0.06657991333007812,28.24367088607595,0.9618114929300975,67.24507440854339,-6.562439721186786,354.79764855016106,0.07125515280829535,28.1241785483738
3,0.062399017333984376,36.03639240506329,0.9618289716146806,70.20669224178371,-6.076902880983349,305.9590194580686,0.06668977043363783,38.70260294564945
4,0.058789151000976564,40.94145569620253,0.95935152300232,72.2364476971972,-6.065063202717153,321.11458940240084,0.06331067710452609,41.41953355523949
5,0.05548258056640625,44.50158227848101,0.9551535314179064,74.40924596050502,-5.8118273834573575,248.4619004969921,0.06013221009572347,45.206647935075026
6,0.0523792106628418,49.44620253164557,0.9561471158592622,75.75196693494077,-5.382033129194768,264.7501125416028,0.05678020615047879,46.70600643232515
7,0.049716317749023436,53.48101265822785,0.9395650663133301,79.66005126500305,-4.194331938961999,172.74162920410058,0.054761602481206255,50.625373033144264
8,0.04751802597045898,57.99050632911393,0.9595809064096287,80.43534670034117,-3.6653787195209815,152.24604544623193,0.05244332551956177,55.28236159547116
9,0.04578085327148437,56.4873417721519,0.9719375108974558,81.39864823838735,-5.3319367017678925,224.43979273792743,0.05014914849069384,56.712530200661554
10,0.043432728576660154,61.90664556962025,0.975685829007823,81.84776118536031,-4.258987011742915,134.29403559574962,0.04839154969321357,58.174074476181744
11,0.04189123916625977,61.27373417721519,1.002962375654425,81.03812597138156,-2.9886946440199837,85.58264713013848,0.04585294943385654,60.77175397015923
12,0.04216607551574707,60.95727848101266,1.0368966426541524,79.28465688970348,-2.9716718743987114,92.43054454165002,0.04644495322969225,59.84625113552452
13,0.03909627208709717,62.61867088607595,1.062059200438972,77.3520324706431,-4.832206201802248,152.30971013061998,0.04358146940337287,61.02870104333492
14,0.03733114910125732,68.2753164556962,1.070966716310771,76.13266021540902,-3.8026580848459175,126.27465388192986,0.04236591362953186,63.49964812652718
15,0.035581402015686034,70.09493670886076,1.0938685868563616,74.95744183184622,-3.6567930189250304,115.72655973036285,0.04134855890274048,65.67195751684683
16,0.03477809171676636,69.06645569620254,1.1004229888773134,73.90497696851033,-3.563136114178289,107.77894966179387,0.03953319689962599,66.17333670677228
17,0.03382848768234253,70.45094936708861,1.12914988350147,71.69092013110551,-2.7778300525634796,109.79129203641908,0.03918243054548899,66.2755411713005
18,0.034161153030395505,68.71044303797468,1.1442853577185745,70.39428406028259,-2.0286672232300327,119.31291419415304,0.03924804348415799,65.41946658177606
19,0.031705704307556155,71.79588607594937,1.1664035678530098,68.54675509909414,-3.147201844740092,98.77613474985097,0.037069612310992345,68.23888228090617
20,0.03093523359298706,74.5253164556962,1.1448391957932589,68.65165220279371,-2.5568611183784085,111.60586885554558,0.03600813027222951,70.38673957804058
21,0.030258923435211183,74.88132911392405,1.1425659786932274,68.76334834456513,-1.92709968663604,121.41264826542711,0.03525066383679708,70.66515982466207
22,0.030093882346153258,73.21993670886076,1.173466282744344,66.52100790917041,-1.794487184722525,129.71409586983506,0.03451457315021091,71.39385835625303
23,0.028670465183258057,75.9493670886076,1.1818120294180778,66.8853390488246,-1.8948384090722357,137.89602603811986,0.033583899392022026,70.87058790412968
24,0.027986374640464783,75.67246835443038,1.1621651412317393,65.49733644476531,-2.654430742135979,140.91928265432517,0.034165183968014184,69.74113321625582
25,0.02791371841430664,74.32753164556962,1.1817493209705188,64.72756141609948,-1.8691903981993527,168.73847234046667,0.03290158544646369,70.42488124629725
26,0.028255663084983826,74.72310126582279,1.1445731129086458,66.01506575715666,-2.796335572438509,154.94998517010822,0.032248070822821724,73.3749775783528
27,0.02755219202041626,75.43512658227849,1.137684764843277,65.7740333879496,-1.9762097751531484,172.55022370234119,0.03274394370449914,71.6358681618628
28,0.026936953866481782,76.42405063291139,1.1150140335124092,65.80411574504035,-2.666108726788527,162.23103633743864,0.0318771200577418,72.78268354398612
29,0.027647133469581604,76.02848101265823,1.0801033318777105,67.31067592867173,-2.725461555853868,159.7252946203961,0.03235638541645474,73.1039667086805
30,0.02698127338886261,76.1867088607595,1.052815704821628,68.72020627815358,-2.9628879102499868,170.28614379520724,0.03211340081691742,72.09598623015575
31,0.027779525542259216,74.12974683544304,1.0258440955123422,69.60665341076891,-2.328496805951964,197.6537427701409,0.0321178292300966,71.71942217631218
32,0.02683999855518341,76.26582278481013,0.9989236470913175,70.12450151558583,-3.575893058034237,157.14730152566804,0.03195961393250359,72.26269676656477
33,0.02942665719985962,72.66613924050633,0.9666560266701424,71.14500573713458,-2.349942823720645,181.5051791212166,0.03360714917712741,70.26865546359907
34,0.02695153840780258,76.34493670886076,0.9747202903872924,71.81450267522388,-2.216394069389782,184.26518550182072,0.03164993181493547,72.30473281514747
35,0.03338224108219147,66.8117088607595,0.9346550164900741,72.53155156827367,-1.5642269764212131,209.338115423135,0.03749875066015455,65.1855032728005
36,0.026302678394317627,77.29430379746836,0.9041343933581489,73.55026371670178,-2.126935801053859,155.62610412624747,0.03091631269454956,73.84346909836228
37,0.027229167032241822,77.37341772151899,0.8782577537362493,74.57852678749893,-3.010701952831112,156.20101782136672,0.03217514120207893,75.27222223088516
