round,train_loss,train_acc,mean_diff_acc,var_diff_acc,val_loss,val_acc
1,1.49876303102214,48.43354806793207,-0.44765155331019174,47.7859429202458,0.07484424563040966,26.089712249783883
2,1.5248355648211926,48.66669189722556,0.5491930527662774,83.25058105176679,0.06335490097602209,39.229133144087264
3,1.4671652775452453,49.154727824799586,0.8423990369559903,33.49033323783915,0.05445353411258444,39.53767557271354
4,1.109724892482072,65.83837046549722,-0.13485138325559234,50.008772286659244,0.05414659391620202,48.01893545476146
5,1.2020475994838813,61.69993689635688,0.05711321795753577,57.75441050401325,0.04180966755613645,58.26237593106784
6,1.046231446376048,69.68416123113984,-0.03253165208716382,83.4240583822311,0.04221420946261005,61.143018470173644
7,1.0465766548398423,70.73221765469532,-0.3933189515983571,46.580415481036425,0.03471207913731786,70.69685413120335
8,0.8923325268088899,76.5053976230681,-0.656637736105975,39.20471174497855,0.03692921226789586,62.10149214778812
9,0.8719090366818146,75.86785823735468,-0.1659501501901815,28.78029672726543,0.03064448338644722,75.58157173835596
10,0.8785185212858704,74.49560997967217,-0.16129960320085104,22.75255213388291,0.030948236081153834,71.37557077625571
11,0.8620359956725732,75.48998084433086,-0.013404161427254735,13.650727597127846,0.028450378804530913,73.1135928179337
12,0.9555675748989871,72.5584451050302,0.3107035170251976,8.025758642246215,0.030399980038592237,72.35455805025693
13,0.8465290254918808,74.81043467072689,-0.3617236487090622,16.10963561556256,0.030248147845778128,72.33767233625625
14,0.909468790010517,71.69004323863373,-0.20919815930968752,17.268062433037827,0.02548860262525599,76.73383705975465
15,0.8218022179562866,76.66836431479912,-0.2221505013467123,4.145754255921364,0.02630677260638435,76.57125286249723
16,0.7936095615063438,77.3354482950771,-0.01145342043453752,1.3425024978652431,0.0261571741003264,75.9013948028992
17,0.8842075229843037,73.21722236758525,-0.007390733006775463,5.658084624081747,0.025807331584980466,74.32948527851818
18,0.8884138690176687,73.43469790736212,0.07341256497944357,9.240652632212761,0.02078599613280734,80.88584836599031
19,0.8470590136064763,73.9101330785812,-0.1347634868872234,4.092875709806583,0.021275403128305143,81.67748975244045
20,0.7939542930984869,75.51232938256778,-0.008563654967966272,5.7685793508330345,0.024008993885269853,77.22944714249485
21,0.8165523203445701,73.76525001651744,0.2874122682748833,9.109342240560547,0.01997985701836471,81.87439409136853
22,0.832597372385456,74.58152475529332,-0.14741974823922704,6.688799877232817,0.020220631528097915,80.27697588649451
23,0.826135468901751,74.53990390803862,0.009479472327680583,7.726100326321378,0.020843571755352824,81.09667800221168
24,0.7938330097656908,75.26422456788679,0.11921850983837032,12.446141722834053,0.017545707227282263,84.553098311092
25,0.7823091763786095,75.95779514244214,0.02632898226471241,8.254861961590574,0.019338740783483802,81.92642722446918
26,0.7992516128249304,75.35807871946915,-0.048430778882723756,19.18492460398027,0.021869941627052452,78.35636207096485
27,0.8234069678657128,74.78619150047761,-0.11401477069017858,19.30798335213752,0.021580602161655797,78.96058677838352
28,0.7716928456550379,76.35016899199015,0.17776774991884564,10.905452994311167,0.017780318884014084,81.88034101543288
29,0.8156428728636351,74.04959774948847,0.24707790846941863,17.762544586864287,0.01718363275882213,84.14875277387459
30,0.7920002408038163,75.05601342008367,0.2764038155031329,18.689351526778587,0.01673613999339525,85.5479086584539
31,0.75284082448566,77.10957934215566,-0.061809256032825034,11.292894027916407,0.018122393404859802,84.24013616733806
32,0.767071888577604,76.28806218037522,-0.0999511951669291,9.533004318793227,0.01618394124080668,85.7954137869926
33,0.7756689617117186,75.64392732730019,-0.06899393312546351,5.684033379513304,0.020703463267118062,80.59423569811565
34,0.7680672079952839,75.4026831121206,0.39394384279955263,6.576491258671342,0.01840125886788628,81.93718393224023
35,0.7405001640303186,77.04658734711482,-0.1022339386050362,15.38179449047299,0.01479063829257025,85.56618440926931
36,0.7851006616647733,74.13577847296078,0.06146801885149955,17.934261797969874,0.017083770263787,83.75271462759109
37,0.7710196263778104,74.58100592275385,0.3992647245390316,20.349591657533033,0.01699476927268872,81.7696814558704
38,0.7413054642266491,76.23692449443035,0.31448625462911367,11.561489035631883,0.018456862638812587,82.7264468666019
39,0.684550566128685,78.80178809607753,0.16809363739166372,25.307021656779344,0.01269985337725947,88.81438911530235
40,0.6628125299006508,78.62291121516506,0.011956735616325886,8.050420401178028,0.01522771269083023,86.12193252334762
41,0.7041095580832056,77.97740725643744,0.20000058592748643,17.020130386904132,0.018511911641306816,82.56087982335076
42,0.6959980098333742,78.07076699394767,0.3524081997725318,20.376033217439744,0.01905844031346575,81.38304732400846
43,0.5796506310714871,82.19600109735246,0.029024875960348594,11.656140377498552,0.019169617255838,82.55709611793039
44,0.5683575399629854,81.2282360369354,0.1340190336907341,11.529483157225382,0.017243740553698265,84.19530560544636
45,0.681822467615956,78.26981806814621,0.49871603901611367,26.19999386648551,0.015406748608055082,85.80793857017247
46,0.6295812763413267,79.95218352255502,0.177006028358511,27.69067779020229,0.0162469146444517,83.89862686778343
47,0.5983176804818594,82.41729875090348,0.12110302183047565,3.3521872513306574,0.01699174849087732,83.0251409774436
48,0.6230710193785812,80.19415107998915,0.22799306757079876,19.298530968866956,0.019222824872746642,81.09473825796321
49,0.6049226992309039,80.51580021895903,0.14560604500326235,21.43485395368583,0.01390749560053653,88.46426525613442
50,0.538695992291209,83.05783299463609,0.021191609257672894,2.906924667735099,0.015604471763620129,85.354319275003
51,0.5802349816692635,82.16353389657058,-0.009496346899024389,10.099427956806036,0.019485615311732776,80.47978015747898
52,0.5962124450791829,81.27881762596705,0.04796187902164206,18.249119440299648,0.01703467197341557,83.70893206521684
53,0.5709309101166614,82.07822775505278,-0.11401746563102222,26.81355035305981,0.014162139407968129,87.25441956419249
54,0.5409542272188713,82.84913929956528,0.3536101852839323,21.160265081063606,0.01726820170135658,83.18714168327041
55,0.655622929546972,80.12079272847747,0.007688558988786553,23.877340776212055,0.021091810190768816,79.0076068218078
56,0.5716053801651405,82.47323483753503,0.40555576516234737,31.706776727524026,0.0201139026066366,81.05984050098834
57,0.5238101562099974,83.846392160559,-0.007892169905193213,17.90528767695359,0.013656254514960423,88.31340229681909
58,0.5303116819111436,82.99998855041041,-0.014690888763550448,21.604537087684378,0.01841041771484692,82.04398531168565
59,0.5494212563686471,83.68272080032496,-0.1258763755276732,18.044379989279296,0.020873817382380366,80.65155797877482
60,0.6023529764476905,81.10346055281308,0.5528111996877726,35.80331786867347,0.020293937500873705,80.8110495345835
61,0.5615672349973105,82.25716275632784,0.18082321971082252,18.558362404999038,0.015622947295035145,83.98097970975192
62,0.5280273342390169,83.30834048742314,0.12460925113349504,32.760073147277026,0.022547823222029962,79.1439342225259
63,0.4760843502140643,84.69224172407228,0.2620658138456264,32.572045522090974,0.020318939548816795,81.12912863927019
64,0.5195249515540479,83.09497989675182,0.10935654323316726,22.852711014278032,0.019087378592448457,81.1973453632071
65,0.572507923403925,81.65160212182046,-0.26698366156439873,30.594074371370276,0.020189551202809974,81.68053407701727
66,0.47115470030895246,85.38512086834956,0.05702035627383282,28.34599893144029,0.02061789758604576,81.18104406059675
67,0.5298215638569961,83.04374177963541,0.510052183436818,21.832734318756792,0.017899077142974066,83.55905864921785
68,0.5002907668724449,84.86750882200262,-0.04945516607219815,24.39837896499814,0.01799291174403386,82.97351020782845
